cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgyYKoUY-2CwXpzWpht4AaABAg,i miss when tv shows used to have fire marketing like this. kinda a lost art,13 days ago,@TheAdidaskicks23,UCHIA5BXuuc__740IDhgAxXg,7,,https://yt3.ggpht.com/ytc/AIdro_mXsGeoAWBFzkMdZwLv3q5Uqwph5FkOvA62eTn6UksErg=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.204634
UgzMdusu9GbEpX35MiJ4AaABAg,The music in this show is awful,13 days ago,@20secondcentury22,UCUadoRZjYqX4Ms1Bh8R6urg,1,,https://yt3.ggpht.com/ytc/AIdro_kTLG23UsIitAXLvxlMP-ag4dE2lKlORe1usKO9iG_uew=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.205516
UgzWH7cTHBeIuhqkOCt4AaABAg,"1:19:38 ""Kier, Chosen One, Kier""",13 days ago,@ados380,UCqhcJls72pf37HLyxnt0WZA,2,,https://yt3.ggpht.com/cPdPbyHlsczS2hsq_rhsNoPqlAw29pFALSn_EyP8r-WNghsknYtk8UP6UclkK_ufGV_hSGxEsw=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.206392
UgzoOVR-sotnU4vF3SZ4AaABAg,"I can finally focus on what's really important, the quarterly objectives!",13 days ago,@kencaldi,UCZdLunzo8pKUARYTT2qpKTg,7,,https://yt3.ggpht.com/ytc/AIdro_nEAsriM4pKbwQbZVCYCth0-o49_f_oFX5DBVdyh3CmoFE=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.207266
UgzJSDlUvlPz8ZvbxuV4AaABAg,"Come on guys, lets refine those numbers. All the bad numbers in the buckets. Lessgooo",13 days ago,@RyMaz0,UCLgAANnVrUJnJ13CCF1-JZA,4,,https://yt3.ggpht.com/ytc/AIdro_k3O2GTpXeUNvXpldHPrS0gI5JNh5TFRMqfbG7gzgg=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.208163
Ugw1xayHS5MtHowwh2h4AaABAg,Thanks for being great Apple :face-red-heart-shape:,13 days ago,@theOrdinaryi,UCCeAq2HQLK0cGLR0OLQghUA,3,,https://yt3.ggpht.com/yyEv56ryVij0ZyZ6ZKck6m2-T0gJxlzNr3UOAF8IfgMyG7JPo2nyN85k05x7wH2xeHLvlNB6M14=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.209058
UgyjGB2aGPOHzogRdEF4AaABAg,"this is so good, I am working with it now, and I am so energised.",13 days ago,@nazaninmoghadamtabrizi1797,UCNGZmn4WY5NsZ37EkJAPrnQ,3,,https://yt3.ggpht.com/ytc/AIdro_lSlQjtYD5xfAUB_htmJiWDfCac5HCEBU_fN0Cg6PMeMQNU=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.209937
UgzgtyfEjxkzFuYnCCZ4AaABAg,Refining so hard to this right now.,13 days ago,@tjrussell388,UCOMKbYkmxgi2AwDjOsx1Nbg,14,,https://yt3.ggpht.com/ytc/AIdro_kJT9PTI0GNSlcuRWKhFll6tx2W4_kF4-K23z1WmnhCL8M=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.210811
UgzCcY1K2gbVKGq2A7J4AaABAg,That they bothered to actually time this up with the music and not just run a bunch of clips together is amazing.,13 days ago,@vartian,UCCFODEtf3OEHWTpFgW6lU3g,77,,https://yt3.ggpht.com/ytc/AIdro_nHvzJ-36mgg4h-C8XaadbkpJo91Vc_XotRjbkuXRc512g=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.212065
UgzeTzVCfT5VWe9AI7R4AaABAg,Exact length of a work day,13 days ago,@jarongriffin8514,UCec9kkfK-AK8dl_ineqTDFw,43,,https://yt3.ggpht.com/ytc/AIdro_kjIs5eE2-Wdqu1VcrzvtdRlZhjo3hTYgwNAT_XNM0=s88-c-k-c0x00ffffff-no-rj,False,False,1740597562.213102
