cid,text,time,author,channel,votes,time_parsed
Ugx6AnVmj13kkfkZ-l14AaABAg,16:51 hello poki alors juste pour expliquer le gros sel est utilisé pour écarter les mauvais esprits et les mauvaises énergies. Ce n’est pas de la sorcellerie au contraire.,4 days ago,@soyume99,UCM9KDo5nb5hcZO-f-pi5dRw,0,1741453685.838447
UgzmIDLkMW2qyriSq6d4AaABAg,ils vont trop bien ensemble 😭🤍,4 days ago,@dwutl,UC1kra89gmLzjy8DsoWroKHg,0,1741453685.838988
UgyoKfqqrOFeK_teTcx4AaABAg,"On adore le duo Amine Pokiman! On voit une autre facette de Amine et j'adore ta personnalité 🥰 
En couple ou amis on n'a pas à savoir, c'est votre vie! J'espere que le duo ne changera pas. Moi j'adore cette ambiguïté.",4 days ago,@safiana3448,UCyVL_3oJ2v5aTbteFb2dRmA,3,1741453685.839527
UgyGfR3Vv1xGQHrFH-54AaABAg,Ah chuis trop heureuse merci pour cette dose de divertissement,4 days ago,@Naïla-ff,UCwuhmk8oXuQF1jFEDAtiibg,4,1741453685.840052
UgxdXRgC4btIZxXNTAV4AaABAg,"Le bol de sel c'est pour l'humidité, le sel aspire l'humidité",4 days ago,@maxvidal5261,UCKgCQbmPS7YLwiWbwVagGpA,0,1741453685.840579
UgwoMRZ0SP1mkrRR0mB4AaABAg,i hope she will stay in safety even if she shows lot of windows here :/,4 days ago,@mecapart,UCFUon13IL1l-Uh9t1vYBDjA,1,1741453685.841101
UgxiefGq9wIQ3sqKF954AaABAg,Attends.... le mec commande un deliveroo pour 2 cafés ?? C'est quoi ce niveau de bourgeoisie mdrrr,4 days ago,@blasedefou,UCBfoAyt6nzzCr_oqCj01SLw,6,1741453685.841624
UgygjB4Y1dceKXFtxOp4AaABAg,"""Finally the burger is gone"" XDDD",4 days ago,@Savyna_Hawke,UC2dftlj7ITlWLBLwAQ3O72w,5,1741453685.842149
UgxXS7i3K3926OTtrVZ4AaABAg,The interaction between the two is cute and hilarious at times!,4 days ago,@xSveto40397,UC7Dnd0yNZrTg3x9XGBzwrgA,21,1741453685.84267
UgzfPGpOHERh734v6rd4AaABAg,🍿🍿🍿,4 days ago,@Esprit_Shonen,UC979FR_esCvA39t54vuiu9g,1,1741453685.843196
UgwPbcoF6EPTDwwIyZp4AaABAg,7:02 eggs in the fridge ????! NOOO,4 days ago,@montonoir,UCmlgIar4lAVJgXCPmQV60wQ,1,1741453686.221754
UgzzxomnxdhtDUA1Lwl4AaABAg,Pressé de voir Billy lâcher Amine car Billy est trop matrixé par sa religion.. Non en vrai je serai le plus triste du monde pour eux mais j’ai peur que ca arrive car aux yeux de Billy c’est haram ce que fait Amine j’en suis sûr,4 days ago,@Baguiguane,UCqptvHReMLP12uBKlYTjFFg,1,1741453686.224252
UgxTqxXo_BsT05GQIBd4AaABAg,Là pour mon gaté,4 days ago,@mugen___,UCAzulBv-Wp3GesmtlTFazIw,0,1741453686.226134
Ugw-TFgL1v769vYuwqp4AaABAg,my fav duo poki the princess and amine le singe,4 days ago,@ashlhwy,UC9v08J9Am--0MoCQkk2d8kA,12,1741453686.226788
UgywoNCL1pCDNcoHU2Z4AaABAg,"Super ta vidéo home tour mais fais attention à ne pas trop montrer où est ce que tu habites à Paris 
Les gens sont des fou !!",4 days ago,@paul172,UC3NdZ1BsSkM7S6O4W7M_C3g,0,1741453686.227385
UgwUd4LRNArUf1oV1th4AaABAg,Amine is such big brother bully vibes,4 days ago,@elhenwhe,UC6z2T7JtecMFq-LInJbKRwA,424,1741453686.228151
Ugy2iHlBLaJ9Bju9sgx4AaABAg,Je vais mourir dès qu’amine filme c'est flou on peut pas compter sur lui💀 pokiman you are perfect 🤍,4 days ago,@purple4823,UCgJFJWYcmL1OvTeoKbp3avg,15,1741453686.228785
UgxJKjPrEPCLpfQENLV4AaABAg,Elle goûté du sel vaudoue 😭😭😭😭,4 days ago,@loren8286,UCi_5oy46Uc-_NldQQtwPSvQ,0,1741453686.229343
UgxqhgGoSLZ316AyvZp4AaABAg,3:21 You thought we wouldn't notice the Hollow Knight OST playing for a couple seconds.,4 days ago,@kelcysun6915,UC6M0Z-paVbQrAJylNuPjwSA,0,1741453686.229882
UgwkJiVVjunfRZNNY0h4AaABAg,Please I need them to date,4 days ago,@gummydoryMMD,UC8-DJTOwhRe6kK0OO8mptSQ,0,1741453686.230421
UgwbwvYhSlSqFxc29V54AaABAg,le soldat est tombé a terre il est piqué de fou amine,4 days ago,@sawisawi-ni7xx,UCsUGHUgrgwpgQIkGjgZy1VQ,4,1741453686.230947
Ugz6vI-gPTPxgnXVsgN4AaABAg,Your outfit looks soo cute! ❤,4 days ago,@Tywele,UCIxtUCI8zzyrScjugj6rchQ,2,1741453686.231474
Ugz9CwFHeY6z3Wq1ODN4AaABAg,"This is romance duo ? 😊 
Je suis sûr qu’il se passe ne belle histoire entre eux deux ❤",4 days ago,@nicolasl34-s6p,UC2WbC9F-e3AmRD_xjyqCSxw,0,1741453686.231999
Ugxql6NcdrsrCUGjJ3J4AaABAg,"16:54 le fait qu’il est du gros sel, c’est une méthode utilisée pour chasser les mauvais esprits, ajouter à ça le signe chelou de qu’il y a sur le lit cet appartement est TRÈS bizarre et terrifiant",4 days ago,@xslydeur831,UCL3eJ9zWvV25glpNS2KnvgA,2,1741453686.232522
UgxvJbNPfROw57yHnWB4AaABAg,"You show your street, your entrance hall, your apartment... You're a woman on top of that and you're a youtuber, so break-ins and muggings can happen because it's not safe.",4 days ago,@Aurora-pr5hm,UC8dLmt84Su5q7uDiiVWFiTQ,0,1741453686.233051
UgxZyO2Hw_TQ8JqY8RJ4AaABAg,Franchement bon duo et amine toujours en mode tipere 😂,4 days ago,@bankai8382,UCaOj_QYDmzp_CAOGsSKnGhw,0,1741453686.233669
UgzIwyIn2hp9GhNBwn94AaABAg,"Pour le coup merci, les morning good vibes m’ont rendu heureux ahahahah",4 days ago,@fautix0783,UCwovO9Df_uBAr4phQOZDs0Q,0,1741453686.234687
UgwNXcINdLFDcE3Vsxh4AaABAg,Ql renard ce amine 😂,4 days ago,@geoffreydulauroy6960,UCRCzG0jH2juJo6fB8L3jmcg,0,1741453686.235446
UgzLX4r270hywVEVRDV4AaABAg,"Le sel sous le lit, c’est pour absorber l’humidite qu’il peut y avoir dans la pièce. On fait souvent ça dans les vieux appartement, souvent mal isolé :)",4 days ago,@elodiel.4793,UCtQErz-sc9iX1WrhKiS6rUQ,693,1741453686.236134
UgydWQ2EPnImkMPEnfR4AaABAg,je veux voir ce duo tout le temps!,4 days ago,@Ceiden,UCtBx0N6E3tczva5DTCp1b9g,3,1741453686.236746
UgzzxomnxdhtDUA1Lwl4AaABAg.AFPFIvxHRb-AFPRclECfkr,Qu’est-ce qu’il a fait de mal amine ?,4 days ago,@EAlY_6,UCdTrHRyi6XkDMk8-gFzHPHg,1,1741453686.473841
